"Command to create Don's list: select moller_quality.run, run_start, quality, task, comment from moller_quality, moller_settings  where moller_settings.run=moller_quality.run and task='pol'and quality='good' order by moller_quality.run;",,,,
run,run_start,quality,task,comment
18005,8/31/19 23:24,good,pol,High current
18006,8/31/19 23:26,good,pol,High current
18007,8/31/19 23:28,good,pol,High current
18008,8/31/19 23:30,good,pol,High current
18051,9/4/19 13:31,good,pol,
18052,9/4/19 13:33,good,pol,
18053,9/4/19 13:36,good,pol,
18054,9/4/19 13:38,good,pol,
18055,9/4/19 13:41,good,pol,
18056,9/4/19 13:43,good,pol,
18057,9/4/19 13:45,good,pol,
18058,9/4/19 13:47,good,pol,
18059,9/4/19 13:49,good,pol,
18060,9/4/19 13:51,good,pol,
18061,9/4/19 13:54,good,pol,
18062,9/4/19 13:57,good,pol,
18063,9/4/19 14:00,good,pol,
18064,9/4/19 14:02,good,pol,
18065,9/4/19 14:04,good,pol,
18066,9/4/19 14:06,good,pol,
18067,9/4/19 14:08,good,pol,
18068,9/4/19 14:11,good,pol,
18069,9/4/19 14:13,good,pol,
18070,9/4/19 14:15,good,pol,
18071,9/4/19 14:17,good,pol,
18072,9/4/19 14:19,good,pol,
18073,9/4/19 14:21,good,pol,
18074,9/4/19 14:24,good,pol,
18075,9/4/19 14:26,good,pol,
18076,9/4/19 14:28,good,pol,
18077,9/4/19 14:37,good,pol,
18078,9/4/19 14:41,good,pol,
18079,9/4/19 14:43,good,pol,
18080,9/4/19 14:46,good,pol,
18081,9/4/19 14:49,good,pol,
18082,9/4/19 14:51,good,pol,
18083,9/4/19 14:53,good,pol,
18084,9/4/19 14:55,good,pol,
18085,9/4/19 14:57,good,pol,
18086,9/4/19 15:00,good,pol,
18087,9/4/19 15:02,good,pol,
18088,9/4/19 15:04,good,pol,
18089,9/4/19 15:06,good,pol,
18090,9/4/19 15:08,good,pol,
18091,9/4/19 15:11,good,pol,
18092,9/4/19 15:13,good,pol,
18093,9/4/19 15:15,good,pol,
18094,9/4/19 15:18,good,pol,
18095,9/4/19 15:21,good,pol,
18096,9/4/19 15:23,good,pol,
